﻿vt_symbol,symbol,exchange,tushare_ts_code,trade_date,tail_start,tail_end,start_datetime,end_datetime,reference_date,ma5,alphaagent_import_columns,note
688172.SSE,688172,SSE,688172.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,33.7,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688261.SSE,688261,SSE,688261.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,94.856,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,107.694,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688390.SSE,688390,SSE,688390.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,72.164,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
300456.SZSE,300456,SZSE,300456.SZ,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,60.355999999999995,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688261.SSE,688261,SSE,688261.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,97.13,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688295.SSE,688295,SSE,688295.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,33.422,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,107.768,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688559.SSE,688559,SSE,688559.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,60.644000000000005,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688615.SSE,688615,SSE,688615.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,320.854,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688711.SSE,688711,SSE,688711.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,32.238,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688777.SSE,688777,SSE,688777.SH,2026-01-19,14:30,14:57,2026-01-19 14:30:00,2026-01-19 14:57:00,2026-01-16,64.05199999999999,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688031.SSE,688031,SSE,688031.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,189.376,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688102.SSE,688102,SSE,688102.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,45.676,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688261.SSE,688261,SSE,688261.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,97.592,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688333.SSE,688333,SSE,688333.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,119.7,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,107.982,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688372.SSE,688372,SSE,688372.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,129.83599999999998,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688387.SSE,688387,SSE,688387.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,19.168,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688787.SSE,688787,SSE,688787.SH,2026-01-20,14:30,14:57,2026-01-20 14:30:00,2026-01-20 14:57:00,2026-01-19,168.468,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688019.SSE,688019,SSE,688019.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,286.404,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688295.SSE,688295,SSE,688295.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,33.29,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,106.944,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688372.SSE,688372,SSE,688372.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,132.036,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688518.SSE,688518,SSE,688518.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,30.344,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688585.SSE,688585,SSE,688585.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,152.06199999999998,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688711.SSE,688711,SSE,688711.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,32.068,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688787.SSE,688787,SSE,688787.SH,2026-01-21,14:30,14:57,2026-01-21 14:30:00,2026-01-21 14:57:00,2026-01-20,168.91199999999998,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
600879.SSE,600879,SSE,600879.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,26.442,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688019.SSE,688019,SSE,688019.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,290.13800000000003,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688172.SSE,688172,SSE,688172.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,36.25,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688295.SSE,688295,SSE,688295.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,33.558,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688433.SSE,688433,SSE,688433.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,84.152,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688559.SSE,688559,SSE,688559.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,61.05800000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688585.SSE,688585,SSE,688585.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,150.18,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688787.SSE,688787,SSE,688787.SH,2026-01-22,14:30,14:57,2026-01-22 14:30:00,2026-01-22 14:57:00,2026-01-21,165.034,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688102.SSE,688102,SSE,688102.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,43.751999999999995,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688234.SSE,688234,SSE,688234.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,111.28800000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688333.SSE,688333,SSE,688333.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,115.056,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,109.386,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688372.SSE,688372,SSE,688372.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,137.7,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688387.SSE,688387,SSE,688387.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,18.478,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688433.SSE,688433,SSE,688433.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,85.126,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688787.SSE,688787,SSE,688787.SH,2026-01-23,14:30,14:57,2026-01-23 14:30:00,2026-01-23 14:57:00,2026-01-22,164.948,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
000559.SZSE,000559,SZSE,000559.SZ,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,19.662,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688012.SSE,688012,SSE,688012.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,365.866,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688020.SSE,688020,SSE,688020.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,91.27799999999999,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688037.SSE,688037,SSE,688037.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,215.038,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688261.SSE,688261,SSE,688261.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,97.814,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,110.04400000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688615.SSE,688615,SSE,688615.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,301.448,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688630.SSE,688630,SSE,688630.SH,2026-01-26,14:30,14:57,2026-01-26 14:30:00,2026-01-26 14:57:00,2026-01-23,180.302,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
300136.SZSE,300136,SZSE,300136.SZ,2026-01-27,14:30,14:57,2026-01-27 14:30:00,2026-01-27 14:57:00,2026-01-26,82.702,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688019.SSE,688019,SSE,688019.SH,2026-01-27,14:30,14:57,2026-01-27 14:30:00,2026-01-27 14:57:00,2026-01-26,287.95799999999997,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
