代码,买入日,首板日,pre1%,pre2%,pre3%,pre3_exbase%,pd1%,pd2%,pd3%,p3阴阳,p3max%,p3min%
002202.SZSE,2026-01-09,2026-01-06,6.96,8.02,0.74,3.61,-6.74,0.99,6.96,阴阳阳,6.96,-6.74
002204.SZSE,2025-03-24,2025-03-19,0.0,0.96,2.34,1.35,1.36,0.96,0.0,阳阳阳,1.36,0.0
002208.SZSE,2025-10-14,2025-10-10,7.31,9.7,7.72,10.48,-1.8,2.23,7.31,阴阳阳,7.31,-1.8
002208.SZSE,2025-10-15,2025-10-10,7.31,9.7,7.72,10.48,-1.8,2.23,7.31,阴阳阳,7.31,-1.8
002208.SZSE,2026-05-14,2026-05-12,5.24,1.57,6.82,2.84,5.17,-3.48,5.24,阳阴阳,5.24,-3.48
002209.SZSE,2024-03-04,2024-02-28,4.71,8.47,13.88,15.62,4.99,3.59,4.71,阳阳阳,4.99,3.59
002209.SZSE,2025-07-15,2025-07-11,-0.16,-0.31,0.16,1.36,0.47,-0.16,-0.16,阳阴阴,0.47,-0.16
002209.SZSE,2025-07-16,2025-07-11,-0.16,-0.31,0.16,1.36,0.47,-0.16,-0.16,阳阴阴,0.47,-0.16
002210.SZSE,2026-04-29,2026-04-27,-1.19,-3.11,-3.86,-2.33,-0.77,-1.95,-1.19,阴阴阴,-0.77,-1.95
002212.SZSE,2025-08-25,2025-08-21,3.07,3.2,5.14,2.39,1.88,0.12,3.07,阳阳阳,3.07,0.12
002212.SZSE,2025-08-28,2025-08-26,0.79,10.83,21.93,24.69,10.01,9.97,0.79,阳阳阳,10.01,0.79
002213.SZSE,2024-12-06,2024-12-04,1.62,3.65,4.83,2.8,1.14,2.0,1.62,阳阳阳,2.0,1.14
002213.SZSE,2025-02-07,2025-02-05,-5.99,-5.21,-8.88,-7.04,-3.87,0.83,-5.99,阴阳阴,0.83,-5.99
002213.SZSE,2025-10-28,2025-10-24,0.33,-3.21,6.5,3.9,10.03,-3.53,0.33,阳阴阳,10.03,-3.53
002213.SZSE,2025-11-20,2025-11-18,-2.45,-8.72,-4.94,-0.11,4.14,-6.43,-2.45,阳阴阴,4.14,-6.43
002218.SZSE,2024-05-24,2024-05-22,-2.66,-2.37,-1.2,1.5,1.2,0.3,-2.66,阳阳阴,1.2,-2.66
002218.SZSE,2026-01-16,2026-01-14,-4.34,-0.22,-1.07,4.76,-0.85,4.31,-4.34,阴阳阴,4.31,-4.34
002218.SZSE,2026-01-27,2026-01-23,5.76,-0.8,1.22,-8.93,2.04,-6.2,5.76,阳阴阳,5.76,-6.2
002218.SZSE,2026-01-28,2026-01-23,5.76,-0.8,1.22,-8.93,2.04,-6.2,5.76,阳阴阳,5.76,-6.2
002219.SZSE,2024-10-09,2024-09-30,5.03,8.29,10.0,11.17,1.58,3.11,5.03,阳阳阳,5.03,1.58
002222.SZSE,2023-11-08,2023-11-06,2.98,0.47,-0.16,-1.93,-0.62,-2.43,2.98,阴阴阳,2.98,-2.43
002226.SZSE,2025-07-23,2025-07-21,2.14,2.14,0.0,-0.53,-2.1,0.0,2.14,阴阳阳,2.14,-2.1
002228.SZSE,2025-12-24,2025-12-22,9.29,12.03,14.03,-0.73,1.79,2.51,9.29,阳阳阳,9.29,1.79
002229.SZSE,2023-04-26,2023-04-24,-10.01,-9.25,-8.99,2.09,0.29,0.85,-10.01,阳阳阴,0.85,-10.01
002229.SZSE,2023-05-29,2023-05-25,7.31,-2.55,-2.63,-4.72,-0.09,-9.18,7.31,阴阴阳,7.31,-9.18
002229.SZSE,2023-05-30,2023-05-25,7.31,-2.55,-2.63,-4.72,-0.09,-9.18,7.31,阴阴阳,7.31,-9.18
002229.SZSE,2024-10-28,2024-10-24,1.77,11.97,14.09,15.23,1.9,10.02,1.77,阳阳阳,10.02,1.77
002229.SZSE,2025-04-29,2025-04-25,1.21,1.88,0.09,0.56,-1.75,0.66,1.21,阴阳阳,1.21,-1.75
002229.SZSE,2025-04-30,2025-04-25,1.21,1.88,0.09,0.56,-1.75,0.66,1.21,阴阳阳,1.21,-1.75
002229.SZSE,2026-08-13,2026-08-11,0.85,-1.3,-3.09,-4.34,-1.82,-2.13,0.85,阴阴阳,0.85,-2.13
002232.SZSE,2023-10-31,2023-10-26,2.75,4.22,0.07,-5.58,-3.99,1.43,2.75,阴阳阳,2.75,-3.99
002232.SZSE,2024-07-25,2024-07-23,-0.15,3.86,0.29,3.15,-3.43,4.01,-0.15,阴阳阴,4.01,-3.43
002232.SZSE,2024-07-30,2024-07-26,6.62,17.28,28.99,20.8,9.98,10.0,6.62,阳阳阳,10.0,6.62
002232.SZSE,2024-07-31,2024-07-26,6.62,17.28,28.99,20.8,9.98,10.0,6.62,阳阳阳,10.0,6.62
002232.SZSE,2024-09-24,2024-09-20,2.7,0.07,-2.31,-6.0,-2.37,-2.57,2.7,阴阴阳,2.7,-2.57
002232.SZSE,2024-11-14,2024-11-12,-0.05,1.65,5.78,6.8,4.06,1.7,-0.05,阳阳阴,4.06,-0.05
002232.SZSE,2025-08-28,2025-08-26,1.73,3.52,3.24,2.97,-0.27,1.76,1.73,阴阳阳,1.76,-0.27
002235.SZSE,2025-12-11,2025-12-08,-1.38,8.53,0.87,4.09,-7.06,10.05,-1.38,阴阳阴,10.05,-7.06
002239.SZSE,2023-11-20,2023-11-16,1.09,2.21,3.35,1.48,1.12,1.1,1.09,阳阳阳,1.12,1.09
002239.SZSE,2023-11-21,2023-11-16,1.09,2.21,3.35,1.48,1.12,1.1,1.09,阳阳阳,1.12,1.09
002243.SZSE,2024-10-30,2024-10-25,-0.28,-1.26,-0.28,0.71,0.99,-0.98,-0.28,阳阴阴,0.99,-0.98
002246.SZSE,2025-07-21,2025-07-17,1.24,-0.27,1.94,0.76,2.22,-1.49,1.24,阳阴阳,2.22,-1.49
002247.SZSE,2024-11-07,2024-11-04,-8.48,0.78,10.68,25.22,9.83,10.12,-8.48,阳阳阴,10.12,-8.48
002248.SZSE,2024-10-25,2024-10-23,2.98,3.27,4.61,3.68,1.3,0.28,2.98,阳阳阳,2.98,0.28
002248.SZSE,2024-10-28,2024-10-23,2.98,3.27,4.61,3.68,1.3,0.28,2.98,阳阳阳,2.98,0.28
002248.SZSE,2026-08-12,2026-08-10,0.22,1.9,3.63,3.17,1.7,1.67,0.22,阳阳阳,1.7,0.22
002250.SZSE,2025-05-30,2025-05-28,5.5,4.38,9.16,1.87,4.58,-1.06,5.5,阳阴阳,5.5,-1.06
002250.SZSE,2025-06-03,2025-05-28,5.5,4.38,9.16,1.87,4.58,-1.06,5.5,阳阴阳,5.5,-1.06
002251.SZSE,2025-04-23,2025-04-21,5.06,6.28,6.28,2.59,0.0,1.16,5.06,阳阳阳,5.06,0.0
002251.SZSE,2025-04-24,2025-04-21,5.06,6.28,6.28,2.59,0.0,1.16,5.06,阳阳阳,5.06,0.0
002253.SZSE,2024-04-26,2024-04-24,0.21,-4.95,-3.59,-0.11,1.43,-5.15,0.21,阳阴阳,1.43,-5.15
002253.SZSE,2024-04-29,2024-04-24,0.21,-4.95,-3.59,-0.11,1.43,-5.15,0.21,阳阴阳,1.43,-5.15
002253.SZSE,2024-10-30,2024-10-28,7.84,8.98,10.14,-3.35,1.07,1.06,7.84,阳阳阳,7.84,1.06
002253.SZSE,2024-10-31,2024-10-28,7.84,8.98,10.14,-3.35,1.07,1.06,7.84,阳阳阳,7.84,1.06
002254.SZSE,2026-06-09,2026-06-05,3.22,4.98,4.28,1.41,-0.66,1.71,3.22,阴阳阳,3.22,-0.66
002256.SZSE,2025-09-01,2025-08-28,7.26,9.02,10.37,2.06,1.24,1.64,7.26,阳阳阳,7.26,1.24
002256.SZSE,2025-09-02,2025-08-28,7.26,9.02,10.37,2.06,1.24,1.64,7.26,阳阳阳,7.26,1.24
002261.SZSE,2024-10-09,2024-09-30,3.23,3.51,9.39,-0.68,5.68,0.28,3.23,阳阳阳,5.68,0.28
002261.SZSE,2025-02-07,2025-02-05,-3.87,-0.47,-1.23,1.56,-0.76,3.54,-3.87,阴阳阴,3.54,-3.87
002263.SZSE,2025-06-26,2025-06-24,2.4,1.99,-0.39,-4.21,-2.33,-0.4,2.4,阴阴阳,2.4,-2.33
002263.SZSE,2025-06-27,2025-06-24,2.4,1.99,-0.39,-4.21,-2.33,-0.4,2.4,阴阴阳,2.4,-2.33
002265.SZSE,2024-12-04,2024-12-02,4.02,3.92,3.64,-2.67,-0.27,-0.09,4.02,阴阴阳,4.02,-0.27
002265.SZSE,2024-12-05,2024-12-02,4.02,3.92,3.64,-2.67,-0.27,-0.09,4.02,阴阴阳,4.02,-0.27
002265.SZSE,2024-12-12,2024-12-10,5.12,15.65,27.24,33.16,10.03,10.01,5.12,阳阳阳,10.03,5.12
002265.SZSE,2024-12-13,2024-12-10,5.12,15.65,27.24,33.16,10.03,10.01,5.12,阳阳阳,10.03,5.12
002265.SZSE,2025-07-21,2025-07-17,-0.93,-2.7,1.31,4.28,4.12,-1.79,-0.93,阳阴阴,4.12,-1.79
002266.SZSE,2025-07-23,2025-07-21,3.4,4.04,2.76,-2.11,-1.23,0.62,3.4,阴阳阳,3.4,-1.23
002266.SZSE,2025-07-24,2025-07-21,3.4,4.04,2.76,-2.11,-1.23,0.62,3.4,阴阳阳,3.4,-1.23
002268.SZSE,2024-02-08,2024-02-06,-8.62,-11.08,-11.99,-9.14,-1.03,-2.69,-8.62,阴阴阴,-1.03,-8.62
002269.SZSE,2024-12-03,2024-11-29,4.55,4.55,5.75,1.73,1.15,0.0,4.55,阳阳阳,4.55,0.0
002269.SZSE,2025-09-05,2025-09-03,0.92,9.5,10.61,10.71,1.01,8.5,0.92,阳阳阳,8.5,0.92
002271.SZSE,2024-10-08,2024-09-27,4.01,5.36,8.99,5.38,3.44,1.29,4.01,阳阳阳,4.01,1.29
002272.SZSE,2025-08-19,2025-08-15,-4.24,-2.94,-0.37,7.2,2.65,1.36,-4.24,阳阳阴,2.65,-4.24
002272.SZSE,2025-08-20,2025-08-15,-4.24,-2.94,-0.37,7.2,2.65,1.36,-4.24,阳阳阴,2.65,-4.24
002272.SZSE,2026-05-20,2026-05-18,-2.29,-7.91,-3.35,-2.29,4.95,-5.75,-2.29,阳阴阴,4.95,-5.75
002276.SZSE,2025-02-28,2025-02-26,-0.74,4.35,4.05,9.57,-0.29,5.12,-0.74,阴阳阴,5.12,-0.74
002277.SZSE,2023-11-02,2023-10-31,0.6,4.04,9.48,6.05,5.23,3.42,0.6,阳阳阳,5.23,0.6
002278.SZSE,2024-07-30,2024-07-26,1.8,0.77,-1.5,-3.0,-2.24,-1.02,1.8,阴阴阳,1.8,-2.24
002278.SZSE,2025-03-17,2025-03-13,1.05,0.17,1.58,0.0,1.4,-0.87,1.05,阳阴阳,1.4,-0.87
002278.SZSE,2025-03-18,2025-03-13,1.05,0.17,1.58,0.0,1.4,-0.87,1.05,阳阴阳,1.4,-0.87
002278.SZSE,2025-10-23,2025-10-20,-4.04,-3.24,-3.14,2.88,0.1,0.84,-4.04,阳阳阴,0.84,-4.04
002279.SZSE,2023-08-23,2023-08-21,-5.19,-7.65,-5.72,-5.56,2.09,-2.6,-5.19,阳阴阴,2.09,-5.19
002281.SZSE,2024-03-04,2024-02-29,-7.11,-1.91,-3.4,7.27,-1.52,5.61,-7.11,阴阳阴,5.61,-7.11
002285.SZSE,2024-09-30,2024-09-26,0.0,2.03,1.01,1.01,-1.01,2.03,0.0,阴阳阳,2.03,-1.01
002285.SZSE,2024-10-08,2024-09-26,0.0,2.03,1.01,1.01,-1.01,2.03,0.0,阴阳阳,2.03,-1.01
002285.SZSE,2024-11-07,2024-11-05,7.5,14.02,18.5,13.36,3.94,6.06,7.5,阳阳阳,7.5,3.94
002287.SZSE,2025-08-01,2025-07-30,5.51,5.17,5.21,-0.72,0.04,-0.32,5.51,阳阴阳,5.51,-0.32
002287.SZSE,2025-08-04,2025-07-30,5.51,5.17,5.21,-0.72,0.04,-0.32,5.51,阳阴阳,5.51,-0.32
002290.SZSE,2024-02-20,2024-02-08,-5.69,-12.9,-21.61,-22.16,-10.0,-7.65,-5.69,阴阴阴,-5.69,-10.0
002290.SZSE,2024-11-12,2024-11-08,0.86,0.33,3.68,6.27,3.34,-0.53,0.86,阳阴阳,3.34,-0.53
002290.SZSE,2025-02-20,2025-02-18,1.23,4.94,3.32,1.19,-1.54,3.66,1.23,阴阳阳,3.66,-1.54
002291.SZSE,2024-12-17,2024-12-13,-0.78,2.01,6.44,6.24,4.34,2.82,-0.78,阳阳阴,4.34,-0.78
002291.SZSE,2025-01-17,2025-01-14,-3.04,-9.87,-6.05,0.68,4.25,-7.05,-3.04,阳阴阴,4.25,-7.05
002292.SZSE,2023-04-11,2023-04-07,-4.73,-7.47,1.74,10.82,9.95,-2.87,-4.73,阳阴阴,9.95,-4.73
002292.SZSE,2023-04-12,2023-04-07,-4.73,-7.47,1.74,10.82,9.95,-2.87,-4.73,阳阴阴,9.95,-4.73
002295.SZSE,2025-09-26,2025-09-24,2.86,2.67,4.5,0.46,1.78,-0.18,2.86,阳阴阳,2.86,-0.18
002296.SZSE,2024-04-23,2024-04-19,3.27,13.59,2.39,-6.13,-9.86,10.0,3.27,阴阳阳,10.0,-9.86
002297.SZSE,2025-12-26,2025-12-24,-0.97,-1.73,0.49,5.73,2.26,-0.77,-0.97,阳阴阴,2.26,-0.97
002297.SZSE,2026-04-16,2026-04-13,-1.26,-2.57,2.33,4.32,5.03,-1.33,-1.26,阳阴阴,5.03,-1.33
002297.SZSE,2026-06-23,2026-06-18,7.87,11.6,14.88,11.73,2.94,3.46,7.87,阳阳阳,7.87,2.94
002298.SZSE,2024-11-12,2024-11-08,2.55,1.95,8.28,7.59,6.21,-0.58,2.55,阳阴阳,6.21,-0.58
002298.SZSE,2025-04-29,2025-04-25,-3.68,-5.72,-7.1,-1.49,-1.46,-2.12,-3.68,阴阴阴,-1.46,-3.68
002298.SZSE,2025-06-06,2025-06-04,-0.33,-3.4,0.34,-1.16,3.87,-3.07,-0.33,阳阴阴,3.87,-3.07
002300.SZSE,2025-03-26,2025-03-21,1.59,1.23,1.59,2.35,0.35,-0.35,1.59,阳阴阳,1.59,-0.35
002300.SZSE,2025-12-05,2025-12-02,1.0,4.12,3.06,0.0,-1.02,3.09,1.0,阴阳阳,3.09,-1.02
002300.SZSE,2025-12-16,2025-12-12,-5.72,-1.82,-6.36,-0.48,-4.62,4.14,-5.72,阴阳阴,4.14,-5.72
002301.SZSE,2024-11-29,2024-11-26,2.32,-0.32,0.16,0.5,0.49,-2.58,2.32,阳阴阳,2.32,-2.58
002302.SZSE,2024-08-27,2024-08-23,-1.41,-2.98,-3.94,-2.17,-0.98,-1.59,-1.41,阴阴阴,-0.98,-1.59
002302.SZSE,2025-07-23,2025-07-21,-0.33,-0.5,-0.5,-0.82,0.0,-0.17,-0.33,阳阴阴,0.0,-0.33
002307.SZSE,2025-08-12,2025-08-08,1.45,1.45,2.7,1.72,1.23,0.0,1.45,阳阳阳,1.45,0.0
002309.SZSE,2025-11-13,2025-11-11,0.63,0.63,0.32,2.94,-0.32,0.0,0.63,阴阳阳,0.63,-0.32
002309.SZSE,2026-03-25,2026-03-20,-1.7,-1.14,0.87,1.44,2.04,0.57,-1.7,阳阳阴,2.04,-1.7
002310.SZSE,2023-07-21,2023-07-19,-0.58,0.0,0.0,-1.16,0.0,0.59,-0.58,阳阳阴,0.59,-0.58
002310.SZSE,2023-07-24,2023-07-19,-0.58,0.0,0.0,-1.16,0.0,0.59,-0.58,阳阳阴,0.59,-0.58
002310.SZSE,2026-03-23,2026-03-19,-4.33,-4.01,5.51,14.5,9.93,0.33,-4.33,阳阳阴,9.93,-4.33
002312.SZSE,2024-02-08,2024-02-06,-6.48,-11.09,-13.82,-11.18,-3.07,-4.93,-6.48,阴阴阴,-3.07,-6.48
002312.SZSE,2024-10-30,2024-10-28,5.22,6.35,16.97,12.59,9.98,1.07,5.22,阳阳阳,9.98,1.07
002312.SZSE,2024-10-31,2024-10-28,5.22,6.35,16.97,12.59,9.98,1.07,5.22,阳阳阳,9.98,1.07
002313.SZSE,2023-11-07,2023-11-03,2.7,2.98,5.26,5.26,2.22,0.27,2.7,阳阳阳,2.7,0.27
002313.SZSE,2023-12-04,2023-11-30,0.91,1.38,2.44,-1.13,1.04,0.46,0.91,阳阳阳,1.04,0.46
002313.SZSE,2024-02-27,2024-02-22,4.05,8.25,17.55,20.0,8.59,4.04,4.05,阳阳阳,8.59,4.04
002313.SZSE,2024-03-12,2024-03-08,-6.62,-8.47,-4.79,12.22,4.03,-1.99,-6.62,阳阴阴,4.03,-6.62
002313.SZSE,2024-03-13,2024-03-08,-6.62,-8.47,-4.79,12.22,4.03,-1.99,-6.62,阳阴阴,4.03,-6.62
002313.SZSE,2024-10-29,2024-10-25,1.59,0.52,0.52,1.47,0.0,-1.05,1.59,阳阴阳,1.59,-1.05
002313.SZSE,2025-02-17,2025-02-13,-1.26,8.65,13.62,14.48,4.57,10.04,-1.26,阳阳阴,10.04,-1.26
002313.SZSE,2025-08-07,2025-08-05,1.89,5.25,5.58,1.72,0.31,3.3,1.89,阳阳阳,3.3,0.31
002313.SZSE,2025-08-08,2025-08-05,1.89,5.25,5.58,1.72,0.31,3.3,1.89,阳阳阳,3.3,0.31
002315.SZSE,2023-05-05,2023-04-28,-2.42,7.34,18.09,21.62,10.02,10.0,-2.42,阳阳阴,10.02,-2.42
002316.SZSE,2023-04-19,2023-04-17,-1.54,3.47,0.0,1.79,-3.36,5.09,-1.54,阴阳阴,5.09,-3.36
002316.SZSE,2024-02-28,2024-02-26,4.53,11.48,10.48,16.12,-0.9,6.65,4.53,阴阳阳,6.65,-0.9
002316.SZSE,2026-01-12,2026-01-08,-2.48,-0.84,-0.21,2.76,0.63,1.68,-2.48,阳阳阴,1.68,-2.48
002319.SZSE,2024-02-02,2024-01-31,-10.03,-14.05,-17.34,-0.34,-3.83,-4.47,-10.03,阴阴阴,-3.83,-10.03
002321.SZSE,2024-11-27,2024-11-25,-1.81,-1.36,0.46,1.38,1.85,0.45,-1.81,阳阳阴,1.85,-1.81
002328.SZSE,2026-04-13,2026-04-09,1.58,6.37,12.84,8.16,6.08,4.71,1.58,阳阳阳,6.08,1.58
002329.SZSE,2026-08-12,2026-08-10,-1.87,-4.26,-4.83,3.22,-0.6,-2.43,-1.87,阴阴阴,-0.6,-2.43
002329.SZSE,2026-08-13,2026-08-10,-1.87,-4.26,-4.83,3.22,-0.6,-2.43,-1.87,阴阴阴,-0.6,-2.43
002331.SZSE,2023-11-27,2023-11-23,3.86,7.33,8.87,5.79,1.43,3.34,3.86,阳阳阳,3.86,1.43
002331.SZSE,2023-11-28,2023-11-23,3.86,7.33,8.87,5.79,1.43,3.34,3.86,阳阳阳,3.86,1.43
002331.SZSE,2025-05-14,2025-05-12,-1.7,-1.05,-0.27,4.22,0.8,0.66,-1.7,阳阳阴,0.8,-1.7
002333.SZSE,2024-01-19,2024-01-17,-0.61,0.0,2.67,5.62,2.67,0.61,-0.61,阳阳阴,2.67,-0.61
002338.SZSE,2025-05-09,2025-05-07,2.51,4.25,3.19,-1.02,-1.01,1.69,2.51,阴阳阳,2.51,-1.01
002339.SZSE,2024-05-13,2024-05-09,-3.54,-5.3,0.0,-5.72,5.59,-1.82,-3.54,阳阴阴,5.59,-3.54
002339.SZSE,2024-05-14,2024-05-09,-3.54,-5.3,0.0,-5.72,5.59,-1.82,-3.54,阳阴阴,5.59,-3.54
002339.SZSE,2024-12-19,2024-12-17,2.3,4.99,4.99,4.13,0.0,2.62,2.3,阳阳阳,2.62,0.0
002342.SZSE,2026-01-13,2026-01-08,-2.26,4.61,-1.41,8.16,-5.76,7.04,-2.26,阴阳阴,7.04,-5.76
002342.SZSE,2026-01-23,2026-01-21,-5.75,-10.32,-19.29,-22.93,-10.0,-4.85,-5.75,阴阴阴,-4.85,-10.0
002343.SZSE,2025-02-24,2025-02-19,-4.46,-6.27,-6.27,0.45,0.0,-1.9,-4.46,阳阴阴,0.0,-4.46
002344.SZSE,2024-11-20,2024-11-15,-2.72,-3.19,-3.19,-0.49,0.0,-0.49,-2.72,阳阴阴,0.0,-2.72
002346.SZSE,2025-01-08,2025-01-06,-3.24,0.1,-2.57,-1.64,-2.67,3.45,-3.24,阴阳阴,3.45,-3.24
002347.SZSE,2024-01-10,2024-01-08,-3.02,-6.57,-4.68,-0.79,2.03,-3.67,-3.02,阳阴阴,2.03,-3.67
002347.SZSE,2024-03-19,2024-03-15,4.73,3.18,4.06,-0.64,0.85,-1.48,4.73,阳阴阳,4.73,-1.48
002347.SZSE,2024-10-11,2024-10-09,4.18,12.81,16.32,14.32,3.11,8.29,4.18,阳阳阳,8.29,3.11
002347.SZSE,2024-12-03,2024-11-28,0.59,-3.38,-2.1,0.99,1.33,-3.95,0.59,阳阴阳,1.33,-3.95
002347.SZSE,2025-12-29,2025-12-25,1.59,-1.79,-2.41,-1.82,-0.64,-3.32,1.59,阴阴阳,1.59,-3.32
002347.SZSE,2025-12-30,2025-12-25,1.59,-1.79,-2.41,-1.82,-0.64,-3.32,1.59,阴阴阳,1.59,-3.32
002348.SZSE,2024-11-08,2024-11-06,3.02,3.37,-2.54,-8.87,-5.71,0.34,3.02,阴阳阳,3.02,-5.71
002348.SZSE,2024-11-27,2024-11-25,-2.39,1.38,11.52,17.08,10.0,3.86,-2.39,阳阳阴,10.0,-2.39
002354.SZSE,2024-11-22,2024-11-20,-2.64,-0.67,9.38,15.19,10.12,2.02,-2.64,阳阳阴,10.12,-2.64
002354.SZSE,2024-12-10,2024-12-05,-4.13,-5.19,4.29,14.38,10.0,-1.11,-4.13,阳阴阴,10.0,-4.13
002354.SZSE,2026-06-09,2026-06-05,-2.1,-9.7,-18.68,-13.57,-9.95,-7.76,-2.1,阴阴阴,-2.1,-9.95
002354.SZSE,2026-06-10,2026-06-05,-2.1,-9.7,-18.68,-13.57,-9.95,-7.76,-2.1,阴阴阴,-2.1,-9.95
002354.SZSE,2026-08-04,2026-07-31,-4.36,-4.98,-5.88,4.56,-0.95,-0.64,-4.36,阴阴阴,-0.64,-4.36
002355.SZSE,2025-05-07,2025-04-30,1.79,-1.73,-1.22,-6.05,0.52,-3.45,1.79,阳阴阳,1.79,-3.45
002356.SZSE,2023-07-04,2023-06-30,3.39,3.12,7.03,1.59,3.78,-0.26,3.39,阳阴阳,3.78,-0.26
002356.SZSE,2023-07-05,2023-06-30,3.39,3.12,7.03,1.59,3.78,-0.26,3.39,阳阴阳,3.78,-0.26
002356.SZSE,2024-06-11,2024-06-06,-1.9,-6.65,-6.65,4.65,0.0,-4.83,-1.9,阳阴阴,0.0,-4.83
002356.SZSE,2025-07-11,2025-07-09,1.67,2.01,0.0,-1.32,-1.97,0.33,1.67,阴阳阳,1.67,-1.97
002358.SZSE,2025-01-23,2025-01-21,1.69,1.9,2.55,-0.63,0.64,0.21,1.69,阳阳阳,1.69,0.21
002361.SZSE,2024-12-31,2024-12-27,0.99,-1.92,-0.24,-6.68,1.71,-2.88,0.99,阳阴阳,1.71,-2.88
002361.SZSE,2025-01-02,2024-12-27,0.99,-1.92,-0.24,-6.68,1.71,-2.88,0.99,阳阴阳,1.71,-2.88
002361.SZSE,2025-12-22,2025-12-18,-3.3,-5.46,-0.44,3.56,5.31,-2.24,-3.3,阳阴阴,5.31,-3.3
002361.SZSE,2025-12-23,2025-12-18,-3.3,-5.46,-0.44,3.56,5.31,-2.24,-3.3,阳阴阴,5.31,-3.3
002361.SZSE,2026-03-30,2026-03-26,1.53,3.39,0.36,-6.72,-2.94,1.83,1.53,阴阳阳,1.83,-2.94
002361.SZSE,2026-03-31,2026-03-26,1.53,3.39,0.36,-6.72,-2.94,1.83,1.53,阴阳阳,1.83,-2.94
002362.SZSE,2024-02-21,2024-02-19,9.23,6.39,8.49,-10.63,1.97,-2.6,9.23,阳阴阳,9.23,-2.6
002362.SZSE,2024-12-09,2024-12-05,-1.69,-5.38,-2.85,-1.75,2.68,-3.75,-1.69,阳阴阴,2.68,-3.75
002362.SZSE,2024-12-10,2024-12-05,-1.69,-5.38,-2.85,-1.75,2.68,-3.75,-1.69,阳阴阴,2.68,-3.75
002363.SZSE,2025-12-26,2025-12-24,-1.27,0.47,4.67,7.34,4.18,1.77,-1.27,阳阳阴,4.18,-1.27
002364.SZSE,2024-12-25,2024-12-23,-2.77,1.64,2.28,2.85,0.63,4.53,-2.77,阳阳阴,4.53,-2.77
002364.SZSE,2025-01-08,2025-01-06,-2.78,6.95,0.35,3.4,-6.17,10.01,-2.78,阴阳阴,10.01,-6.17
002364.SZSE,2025-08-19,2025-08-15,-2.49,-1.21,2.51,15.62,3.77,1.32,-2.49,阳阳阴,3.77,-2.49
002364.SZSE,2026-04-14,2026-04-09,5.3,6.49,13.22,2.04,6.32,1.14,5.3,阳阳阳,6.32,1.14
002365.SZSE,2025-04-25,2025-04-23,3.12,13.41,7.91,6.78,-4.85,9.98,3.12,阴阳阳,9.98,-4.85
002365.SZSE,2025-05-23,2025-05-21,-0.71,9.21,12.09,24.17,2.64,9.99,-0.71,阳阳阴,9.99,-0.71
002365.SZSE,2025-06-16,2025-06-12,-8.87,-5.01,4.4,20.03,9.91,4.23,-8.87,阳阳阴,9.91,-8.87
002366.SZSE,2023-05-24,2023-05-22,6.32,6.53,6.11,-0.78,-0.39,0.2,6.32,阴阳阳,6.32,-0.39
002366.SZSE,2023-05-25,2023-05-22,6.32,6.53,6.11,-0.78,-0.39,0.2,6.32,阴阳阳,6.32,-0.39
002366.SZSE,2025-05-28,2025-05-23,-1.92,-3.4,-4.12,-0.57,-0.75,-1.51,-1.92,阴阴阴,-0.75,-1.92
002368.SZSE,2024-10-08,2024-09-27,4.31,6.33,7.0,3.57,0.63,1.94,4.31,阳阳阳,4.31,0.63
002369.SZSE,2024-03-05,2024-03-01,3.74,-6.73,-2.58,-2.67,4.45,-10.09,3.74,阳阴阳,4.45,-10.09
002369.SZSE,2024-08-19,2024-08-14,3.94,-0.87,1.48,-2.94,2.37,-4.62,3.94,阳阴阳,3.94,-4.62
002369.SZSE,2024-12-13,2024-12-11,2.5,1.16,5.45,5.76,4.24,-1.31,2.5,阳阴阳,4.24,-1.31
002369.SZSE,2024-12-19,2024-12-17,-7.99,-9.85,-0.78,18.68,10.05,-2.02,-7.99,阳阴阴,10.05,-7.99
002369.SZSE,2025-02-21,2025-02-19,-5.01,-6.27,-9.02,0.99,-2.93,-1.33,-5.01,阴阴阴,-1.33,-5.01
002369.SZSE,2025-02-24,2025-02-19,-5.01,-6.27,-9.02,0.99,-2.93,-1.33,-5.01,阴阴阴,-1.33,-5.01
002370.SZSE,2024-08-19,2024-08-15,-1.56,-2.32,0.0,-2.28,2.37,-0.77,-1.56,阳阴阴,2.37,-1.56
002370.SZSE,2025-07-18,2025-07-16,-3.61,-2.2,-1.47,2.21,0.74,1.46,-3.61,阳阳阴,1.46,-3.61
002370.SZSE,2025-07-30,2025-07-28,6.63,3.87,8.27,-2.76,4.23,-2.58,6.63,阳阴阳,6.63,-2.58
002370.SZSE,2025-10-17,2025-10-14,-0.35,-1.73,-0.87,-4.05,0.87,-1.39,-0.35,阳阴阴,0.87,-1.39
002374.SZSE,2024-11-11,2024-11-07,1.76,7.84,6.64,4.8,-1.11,5.97,1.76,阴阳阳,5.97,-1.11
002374.SZSE,2025-11-12,2025-11-10,0.0,-4.53,-5.39,-2.77,-0.9,-4.53,0.0,阴阴阳,0.0,-4.53
002374.SZSE,2025-11-13,2025-11-10,0.0,-4.53,-5.39,-2.77,-0.9,-4.53,0.0,阴阴阳,0.0,-4.53
002377.SZSE,2023-07-28,2023-07-26,3.69,3.69,5.42,1.67,1.67,0.0,3.69,阳阳阳,3.69,0.0
